dataset,task,setting,arch,num_layers,hidden_dim,seed,val_auc,val_auprc,val_precision,val_recall,val_accuracy,val_macro_f1,test_auc,test_auprc,test_precision,test_recall,test_accuracy,test_macro_f1,train_time_sec,num_params
rel-arxiv,author-category,hetero,hgt,2,64,0,,,,,0.528565936178393,0.3661208542752366,,,,,0.4960282436010591,0.3776121042055598,2052.1,253153
rel-arxiv,author-category,hetero,hgt,3,64,0,,,,,0.5015506856337306,0.3234447141206318,,,,,0.47396293027360986,0.3311699559716734,2243.8,377623
rel-arxiv,author-category,homo_noenc,hgt,2,64,0,,,,,0.5059336152761759,0.28708045146170647,,,,,0.4703820451393267,0.2842313496997376,143.7,28735
rel-arxiv,author-category,homo_noenc,hgt,3,64,0,,,,,0.47899525823401257,0.2467065947083802,,,,,0.44806455680242085,0.24577436281166726,486.7,47428
rel-arxiv,author-category,hybrid,hgt,2,64,0,,,,,0.532487504805844,0.3738164374557962,,,,,0.4988021687050813,0.3823651012933808,1426.4,147376
rel-arxiv,author-category,hybrid,hgt,3,64,0,,,,,0.5212097911059849,0.35663224676313005,,,,,0.48649602824360105,0.3642970963371397,2899.8,166069
rel-arxiv,author-category,homo,sage,2,128,0,,,,,0.5206715365884916,0.3061925696873907,,,,,0.4880342958012861,0.3066407714127528,186.2,74165
rel-arxiv,author-category,homo,sage,3,128,0,,,,,0.5262591311034217,0.34759819649610835,,,,,0.49254822847055857,0.35034553315943595,322.7,107061
rel-arxiv,author-category,homo,gat,2,128,0,,,,,0.5182109445085223,0.34775614477167593,,,,,0.48500819568780734,0.35121728653194867,259.8,41909
rel-arxiv,author-category,homo,gat,3,128,0,,,,,0.48517236960143534,0.2506425634735956,,,,,0.4522758794603455,0.2527854581457139,1007.5,58677
rel-arxiv,author-category,homo,hgt,2,128,0,,,,,0.5276688453159042,0.3602058647017182,,,,,0.5026604463497667,0.37108345294105566,286.8,156863
rel-arxiv,author-category,homo,hgt,3,128,0,,,,,0.5023452518262207,0.33569006316967115,,,,,0.46579245996721724,0.33857826999814666,548.7,231108
