dataset,task,mode,arch,num_layers,hidden_dim,seed,val_auc,val_auprc,val_precision,val_recall,val_accuracy,val_macro_f1,test_auc,test_auprc,test_precision,test_recall,test_accuracy,test_macro_f1,train_time_sec,num_params
rel-avito,user-visits,mpnn_u,gat,2,64,0,0.6083540758999915,0.9290644722773684,0.9034991160479002,1.0,,,0.6125889434944147,0.8887244558189815,0.8505909380276232,1.0,,,300.0,196161
rel-avito,user-visits,mpnn_u,gat,3,64,0,0.6198086038966052,0.9325965323772124,0.9035983710528072,0.9994092889315512,,,0.6184668799352964,0.8920765013525952,0.8506912697753027,0.9991214083498748,,,475.7,380609
rel-avito,user-visits,mpnn_d,gat,1,64,0,0.5716657921961463,0.9200356979527812,0.9034991160479002,1.0,,,0.5797174260786347,0.8784969857231008,0.8505909380276232,1.0,,,423.7,5889
rel-avito,user-visits,mpnn_d,gat,2,64,0,0.599803568916806,0.9287617809574048,0.9034991160479002,1.0,,,0.6047108827271424,0.8888613516511271,0.8505909380276232,1.0,,,507.5,74305
rel-avito,user-visits,mpnn_d,gat,3,64,0,0.5929453008543999,0.9257814975955668,0.9034991160479002,1.0,,,0.5968731327907975,0.8837652719930774,0.8505909380276232,1.0,,,761.1,142721
rel-avito,user-visits,dir_gnn,gat,1,64,0,0.6031422388301716,0.9276395085658012,0.9034991160479002,1.0,,,0.6034113542523418,0.8879378800575954,0.8505909380276232,1.0,,,244.5,39169
rel-avito,user-visits,dir_gnn,gat,2,64,0,0.6120188058677742,0.930697820701444,0.9034991160479002,1.0,,,0.6163833880844076,0.8909722009431904,0.8505909380276232,1.0,,,317.3,164673
rel-avito,user-visits,dir_gnn,gat,3,64,0,0.620681060203856,0.9327990370910269,0.9252868068833652,0.7146496344975264,,,0.6176747754230982,0.8912171808705508,0.8921171485775481,0.6234746672740881,,,799.0,290177
rel-stack,post-votes,mpnn_u,sage,1,64,0,0.6851377427473102,0.0967965539914653,0.0,0.0,,,0.6858491406390902,0.1057528161982551,0.0,0.0,,,873.3,8001
rel-stack,post-votes,mpnn_u,sage,2,64,0,0.6382603201521735,0.1309556932225559,0.56,0.0014673129830996,,,0.636951823001734,0.1417228622883134,0.6,0.0014518805309734,,,3950.9,189633
